#group,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string,string,string,double,dateTime:RFC3339
#default,median,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_field,_measurement,class,host,location,metric_type,model,sensorid,sensorplatform,sensortype,type,_value,_time
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.197914,2026-07-07T14:36:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.216606499999997,2026-07-07T14:37:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.2660065,2026-07-07T14:38:00Z
,,3,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,27.290039,2026-07-07T14:39:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.934891,2026-07-07T14:25:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.882820000000002,2026-07-07T14:26:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.890831,2026-07-07T14:27:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.920204499999997,2026-07-07T14:28:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.8961715,2026-07-07T14:29:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.8961715,2026-07-07T14:30:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.914864,2026-07-07T14:31:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.878815,2026-07-07T14:32:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.9228745,2026-07-07T14:33:00Z
